"","model","formula","p(atemp.s)","SEp(atemp.s)","p(I(atemp.s^2))","SEp(I(atemp.s^2))","p(I(interval.s^2))","SEp(I(interval.s^2))","p(I(stemp.s^2))","SEp(I(stemp.s^2))","p(Int)","SEp(Int)","p(interval.s)","SEp(interval.s)","p(stemp.s)","SEp(stemp.s)","p(t_veg.s)","SEp(t_veg.s)","p(trees.s)","SEp(trees.s)","p(wind.s)","SEp(wind.s)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"11","psi(.)p(atemp+wind)","~atemp.s + wind.s ~ 1",0.839561111825767,0.276289110590983,NA,NA,NA,NA,NA,NA,2.13121327629224,0.28503925486325,NA,NA,NA,NA,NA,NA,NA,NA,0.648747754228103,0.293086380072247,1.19049273748519,0.281170379187492,0,2.50900102719111,92.8288688096558,4,72,193.657737619312,0,0.5015908190769,NA,0.5015908190769
"12","psi(.)p(atemp+atemp^2+wind)","~atemp.s + I(atemp.s^2) + wind.s ~ 1",0.831890654290663,0.322075477587833,-0.0119318572259616,0.259766933569263,NA,NA,NA,NA,2.13925000162952,0.334642626926842,NA,NA,NA,NA,NA,NA,NA,NA,0.646645339472436,0.296306253356952,1.19062629852573,0.281223333142557,0,7.39887732618574,92.8278144275236,5,72,195.655628855047,1.99789123573561,0.184719612635444,NA,0.686310431712344
"15","psi(.)p(time+wind)","~interval.s + wind.s ~ 1",NA,NA,NA,NA,NA,NA,NA,NA,2.1574647883812,0.288263054377066,-0.717631850188396,0.285409518403259,NA,NA,NA,NA,NA,NA,0.716311176705666,0.305366048214892,1.1879318460459,0.280575284119358,0,3.0009933042643,94.5138399542523,4,72,197.027679908505,3.36994228919298,0.0930199086063179,NA,0.779330340318662
"4","psi(.)p(atemp)","~atemp.s ~ 1",0.797996510754425,0.275468614375639,NA,NA,NA,NA,NA,NA,2.08792433053826,0.272210223079658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18658433817679,0.280246267997458,0,2.2774978864688,95.6627084588234,3,72,197.325416917647,3.66767929833517,0.0801536194675576,NA,0.859483959786219
"16","psi(.)p(time+time^2+wind)","~interval.s + +I(interval.s^2) + wind.s ~ 1",NA,NA,NA,NA,0.384250196423304,0.385219340176733,NA,NA,1.89387701198664,0.372887221786015,-0.841228126992929,0.347293857531588,NA,NA,NA,NA,NA,NA,0.708581574095616,0.297097181861613,1.18166248176121,0.279158188575755,0,8.14676150879002,93.9639025745022,5,72,197.927805149004,4.27006752969288,0.0593083983656576,NA,0.918792358151877
"8","psi(.)p(atemp+atemp^2)","~atemp.s + I(atemp.s^2) ~ 1",0.717914908823842,0.303547518245045,-0.11649011714025,0.236417897636449,NA,NA,NA,NA,2.16893027825574,0.322056233711147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18745012181725,0.28046638255574,0,7.26596239339741,95.5459140408313,4,72,199.091828081663,5.43409046235098,0.0331399483911705,NA,0.951932306543047
"13","psi(.)p(time)","~interval.s ~ 1",NA,NA,NA,NA,NA,NA,NA,NA,2.07192670829929,0.2649149309594,-0.590718795907928,0.279829142099414,NA,NA,NA,NA,NA,NA,NA,NA,1.18110851894098,0.279006362371081,0,2.25165288577092,97.7733198909264,3,72,201.546639781853,7.88890216254117,0.00971172195221494,NA,0.961644028495262
"7","psi(.)p(stemp+wind)","~stemp.s + wind.s ~ 1",NA,NA,NA,NA,NA,NA,NA,NA,2.04077969391641,0.264678355053794,NA,NA,0.388300007118883,0.260305686266819,NA,NA,NA,NA,0.478698319843509,0.287415349977085,1.1893420848066,0.28092011281526,0,2.21452052067889,96.8281992436973,4,72,201.656398487395,7.99866086808311,0.0091931096451265,NA,0.970837138140389
"5","psi(.)p(wind)","~wind.s ~ 1",NA,NA,NA,NA,NA,NA,NA,NA,2.01750913375286,0.258281293376816,NA,NA,NA,NA,NA,NA,NA,NA,0.563865620965189,0.288397234456708,1.18818500700731,0.280663642961961,0,1.90658747202165,97.9984344687679,3,72,201.996868937536,8.33913131822428,0.00775407899439067,NA,0.978591217134779
"14","psi(.)p(time+time^2)","~interval.s + I(interval.s^2) ~ 1",NA,NA,NA,NA,0.316895607190657,0.361422821538205,NA,NA,1.86124935328081,0.345061103302213,-0.6993900668918,0.339949610112842,NA,NA,NA,NA,NA,NA,NA,NA,1.17813855285403,0.278372889157729,0,7.54231332184828,97.3500622599874,4,72,202.700124519975,9.04238690066316,0.00545531976106365,NA,0.984046536895843
"6","psi(.)p(stemp)","~stemp.s ~ 1",NA,NA,NA,NA,NA,NA,NA,NA,2.00787920574821,0.254034623985777,NA,NA,0.476598311782,0.257632978100693,NA,NA,NA,NA,NA,NA,1.18474821205715,0.279853171501458,0,1.69812984528404,98.3785058489916,3,72,202.757011697983,9.09927407867161,0.00530233689274618,NA,0.989348873788589
"10","psi(.)p(stemp+stemp^2+wind)","~stemp.s + I(stemp.s^2) + wind.s ~ 1",NA,NA,NA,NA,NA,NA,-0.0723252663781427,0.211220446266256,2.11020911735129,0.338029260259934,NA,NA,0.380028109614484,0.251981168561706,NA,NA,NA,NA,0.474268731370845,0.288424757200915,1.18880274424444,0.280796502775035,0,7.09465226021888,96.7713792409959,5,72,203.542758481992,9.88502086268016,0.00357968301979346,NA,0.992928556808383
