"","model","formula","p(atemp.s)","SEp(atemp.s)","p(Int)","SEp(Int)","p(wind.s)","SEp(wind.s)","psi(comp.s)","SEpsi(comp.s)","psi(elionurus1)","SEpsi(elionurus1)","psi(grain.s)","SEpsi(grain.s)","psi(grass_suit.s)","SEpsi(grass_suit.s)","psi(I(grain.s^2))","SEpsi(I(grain.s^2))","psi(Int)","SEpsi(Int)","psi(shrubs.s)","SEpsi(shrubs.s)","psi(size.s)","SEpsi(size.s)","psi(trees.s)","SEpsi(trees.s)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"15","psi(elionurus+trees+area+grain+grain^2)p(atemp+wind)","~atemp.s + wind.s ~ elionurus + trees.s + size.s + grain.s + I(grain.s^2)",0.845214168050614,0.277926571889046,2.14500285931215,0.282954569890859,0.637288697782458,0.291211187214139,NA,NA,1.84553832277828,0.855674207735544,-0.0313237168376286,0.603015177818017,NA,NA,-1.55874715695044,0.926711106216937,1.52021453760042,0.867972850570547,NA,NA,0.52928178254048,0.32971035855969,-1.09682438292135,0.414221583691209,0,32.5902343713752,74.5552371651527,9,72,167.110474330305,0,0.38994753873354,NA,0.38994753873354
"14","psi(elionurus+trees+grain+grain^2)p(atemp+wind)","~atemp.s + wind.s ~ elionurus + trees.s + grain.s + I(grain.s^2)",0.851795340276786,0.278089629735991,2.13399402138576,0.284263852147615,0.630809149061528,0.290037879242967,NA,NA,2.05364505830438,0.848525895056805,-0.183915585276437,0.575927083918369,NA,NA,-1.30030183181273,0.80608298442247,1.09779307182718,0.757475430878032,NA,NA,NA,NA,-0.934774143874986,0.384193055290046,0,24.8890940895976,75.7932317189499,8,72,167.5864634379,0.475989107594387,0.307359373352092,NA,0.697306912085632
"25","psi(trees+area+grain+grain^2)p(atemp+wind)","~atemp.s + wind.s ~ trees.s + size.s + grain.s + I(grain.s^2)",0.838643732483165,0.278484780538033,2.14600417562929,0.283171401187218,0.642259988213191,0.292213454431085,NA,NA,NA,NA,-0.0576810968711456,0.545699446435238,NA,NA,-1.93850577878755,0.955773543522475,2.83745964631623,0.746145778643409,NA,NA,0.6407568713277,0.309711856779022,-1.06051916579685,0.372481403824088,0,29.794782298464,77.0546736092794,8,72,170.109347218559,2.99887288825349,0.0870581050514947,NA,0.784365017137127
"28","psi(trees+grass_suit+grain+grain^2)p(atemp+wind)","~atemp.s + wind.s ~ trees.s + grass_suit.s + grain.s + I(grain.s^2)",0.841710126566755,0.278193865989188,2.14534234476741,0.283207195572214,0.638976114471803,0.291605375577955,NA,NA,NA,NA,-0.237109766656256,0.53921034779991,1.36279686200706,1.06880545638813,-1.76041253267062,0.850162114805393,2.91033539452368,0.823552653596152,NA,NA,NA,NA,-0.760766261406628,0.327635576595417,0,36.4404757148136,77.6505349509474,8,72,171.301069901895,4.19059557158948,0.0479766497120293,NA,0.832341666849156
"17","psi(elionurus+grass_suit+grain+grain^2)p(atemp+wind)","~atemp.s + wind.s ~ elionurus + grass_suit.s + grain.s + I(grain.s^2)",0.844551426691058,0.276805731451076,2.13451997270209,0.28474666797561,0.639417601595575,0.290892864034189,NA,NA,1.77685189213635,0.77429589637494,-0.6220993817276,0.515458189602952,0.899426186138883,0.738605016997295,-0.916316005160032,0.630082657812846,1.09530594516769,0.779558835763506,NA,NA,NA,NA,NA,NA,0,25.7020728411233,77.8244112297476,8,72,171.648822459495,4.53834812918973,0.0403196179960084,NA,0.872661284845164
"24","psi(trees+grain+grain^2)p(atemp+wind)","~atemp.s + wind.s ~ trees.s + grain.s + I(grain.s^2)",0.842009690643929,0.278439804988212,2.14012158602387,0.283988707765684,0.639771202057692,0.291526549502408,NA,NA,NA,NA,-0.131781517375757,0.526468638225593,NA,NA,-1.66993956501411,0.87419200377243,2.51050174780291,0.655277834802503,NA,NA,NA,NA,-0.861792418636504,0.335102627305812,0,23.5317032801671,79.07722521657,7,72,172.15445043314,5.04397610283462,0.0313127124167469,NA,0.903973997261911
"13","psi(elionurus+trees+grain)p(atemp+wind)","~atemp.s + wind.s ~ elionurus + trees.s + grain.s",0.847776285199228,0.277839278673428,2.13206119323852,0.285516384881786,0.629358594340584,0.290542241101792,NA,NA,2.06121963000554,0.777867970594956,-1.06328309416781,0.415391718552867,NA,NA,NA,NA,0.16570500395168,0.547843493032094,NA,NA,NA,NA,-0.637851340326845,0.325766943781427,0,16.9427270416944,79.1342050672721,7,72,172.268410134544,5.1579358042388,0.0295783984225958,NA,0.933552395684507
"16","psi(elionurus+grain+grain^2)p(atemp+wind)","~atemp.s + wind.s ~ elionurus + grain.s + I(grain.s^2)",0.846016866575771,0.27632823588622,2.12546882421729,0.286145391206662,0.639219254921328,0.290365689889702,NA,NA,1.90848743783051,0.745803604634077,-0.529274853650565,0.494541703038896,NA,NA,-0.854391392033057,0.579760636017826,0.825146453492929,0.638411529912159,NA,NA,NA,NA,NA,NA,0,17.3305931237703,79.1438481198751,7,72,172.28769623975,5.17722190944485,0.0292945431857854,NA,0.962846938870292
"19","psi(elionurus+comp+grain+grain^2)p(atemp+wind)","~atemp.s + wind.s ~ elionurus + comp.s + grain.s + I(grain.s^2)",0.845799798743861,0.276308127753954,2.12543792674266,0.286211684343302,0.638801985933281,0.290377431459208,0.118597367807401,0.368560942649576,1.96746301515783,0.768521896935254,-0.478102762476881,0.51878375458253,NA,NA,-0.91086132148193,0.630589235005508,0.821148291514734,0.644234146244461,NA,NA,NA,NA,NA,NA,0,17.6600291657687,79.0899397862067,8,72,174.179879572413,7.06940524210799,0.0113737673366221,NA,0.974220706206914
"12","psi(elionurus+grain)p(atemp+wind)","~atemp.s + wind.s ~ elionurus + grain.s",0.845134861365565,0.276863768824516,2.12810674965568,0.286159311828708,0.634837482558256,0.290574699545367,NA,NA,2.0049990636284,0.717208183309267,-1.12611509114271,0.380439565378107,NA,NA,NA,NA,0.176120716373032,0.503521571349196,NA,NA,NA,NA,NA,NA,0,13.9458929793808,81.1251570310188,6,72,174.250314062038,7.13983973173225,0.0109801856959917,NA,0.985200891902906
